id,rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,image,date,last_updated,number,loser_rank,gainer_rank
ethena-usde,22,Ethena USDe,USDE,1.001,0.00548,UP,9254217259,1179864302.0,1.032,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,03-08-2025,2025-08-03T19:09:12.825Z,22,,
avalanche-2,23,Avalanche,AVAX,21.41,3.12379,UP,9044226237,300682840.0,144.96,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,03-08-2025,2025-08-03T19:09:11.108Z,23,,
the-open-network,24,Toncoin,TON,3.64,3.70823,UP,8791606709,287742419.0,8.25,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,03-08-2025,2025-08-03T19:09:08.760Z,24,,
litecoin,25,Litecoin,LTC,108.92,3.61692,UP,8297947527,1345685803.0,410.26,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,03-08-2025,2025-08-03T19:09:20.310Z,25,,
leo-token,26,LEO Token,LEO,8.95,-0.0726,DOWN,8265039855,1808442.0,10.14,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,03-08-2025,2025-08-03T19:09:19.810Z,26,9.0,
weth,27,WETH,WETH,3493.81,3.09618,UP,7930850114,50767934.0,4799.89,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,03-08-2025,2025-08-03T19:09:09.599Z,27,,
usds,28,USDS,USDS,0.99975,-0.00927,DOWN,7647064868,6064024.0,1.057,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,03-08-2025,2025-08-03T19:09:08.729Z,28,,
shiba-inu,29,Shiba Inu,SHIB,1.22e-05,4.38869,UP,7188733485,124414044.0,8.616e-05,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,03-08-2025,2025-08-03T19:09:10.337Z,29,,
binance-bridged-usdt-bnb-smart-chain,30,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999479,0.07735,UP,6781172654,2185591230.0,1.05,https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,03-08-2025,2025-08-03T19:09:11.812Z,30,,
coinbase-wrapped-btc,31,Coinbase Wrapped BTC,CBBTC,114381.0,2.18977,UP,6167686683,271006569.0,123036.0,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,03-08-2025,2025-08-03T19:09:12.606Z,31,,
whitebit,32,WhiteBIT Coin,WBT,42.62,1.85807,UP,6142515826,32178999.0,52.27,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,03-08-2025,2025-08-03T19:09:11.848Z,32,,
monero,33,Monero,XMR,298.85,2.28577,UP,5518194750,93630486.0,542.33,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,03-08-2025,2025-08-03T19:09:05.749Z,33,,
uniswap,34,Uniswap,UNI,9.14,4.02807,UP,5489136210,286343851.0,44.92,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,03-08-2025,2025-08-03T19:09:08.768Z,34,,
polkadot,35,Polkadot,DOT,3.59,4.10789,UP,5475532757,192550467.0,54.98,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,03-08-2025,2025-08-03T19:09:17.560Z,35,,
ethena-staked-usde,36,Ethena Staked USDe,SUSDE,1.19,0.20666,UP,5203432412,257536221.0,1.29,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,03-08-2025,2025-08-03T19:09:12.692Z,36,,
bitget-token,37,Bitget Token,BGB,4.34,2.57603,UP,4944812784,65342382.0,8.45,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,03-08-2025,2025-08-03T19:09:11.344Z,37,,
pepe,38,Pepe,PEPE,1.048e-05,5.23772,UP,4407848409,429849168.0,2.803e-05,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,03-08-2025,2025-08-03T19:09:06.610Z,38,,
crypto-com-chain,39,Cronos,CRO,0.133747,8.3451,UP,4331323877,29504791.0,0.965407,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,03-08-2025,2025-08-03T19:09:12.267Z,39,,
aave,40,Aave,AAVE,258.76,4.60972,UP,3935175087,277839720.0,661.69,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,03-08-2025,2025-08-03T19:09:10.564Z,40,,
ethena,41,Ethena,ENA,0.590277,12.56596,UP,3754616541,1065504225.0,1.52,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,03-08-2025,2025-08-03T19:09:12.896Z,41,,8.0
dai,42,Dai,DAI,0.999716,-0.02692,DOWN,3734847544,78710729.0,1.22,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,03-08-2025,2025-08-03T19:09:12.355Z,42,,
bittensor,43,Bittensor,TAO,350.32,6.36483,UP,3350487690,95120805.0,757.6,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,03-08-2025,2025-08-03T19:09:11.423Z,43,,
ethereum-classic,44,Ethereum Classic,ETC,19.8,3.48975,UP,3028840823,267523207.0,167.09,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,03-08-2025,2025-08-03T19:09:13.015Z,44,,
near,45,NEAR Protocol,NEAR,2.43,4.99466,UP,3021643436,118698685.0,20.44,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,03-08-2025,2025-08-03T19:09:06.104Z,45,,
ondo-finance,46,Ondo,ONDO,0.922459,8.02977,UP,2914630481,131591192.0,2.14,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,03-08-2025,2025-08-03T19:09:11.942Z,46,,
pi-network,47,Pi Network,PI,0.366305,4.79537,UP,2844153057,100095238.0,2.99,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,03-08-2025,2025-08-03T19:09:06.581Z,47,,
aptos,48,Aptos,APT,4.23,3.84848,UP,2837959174,362098078.0,19.92,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,03-08-2025,2025-08-03T19:09:11.265Z,48,,
okb,49,OKB,OKB,46.37,1.06151,UP,2782183946,9687067.0,73.8,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,03-08-2025,2025-08-03T19:09:06.075Z,49,,
internet-computer,50,Internet Computer,ICP,5.09,4.21942,UP,2732691447,41184933.0,700.65,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,03-08-2025,2025-08-03T19:09:13.908Z,50,,
jito-staked-sol,51,Jito Staked SOL,JITOSOL,197.34,2.96559,UP,2561317223,26262932.0,339.52,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,03-08-2025,2025-08-03T19:09:13.770Z,51,,
blackrock-usd-institutional-digital-liquidity-fund,52,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,0.0,DOWN,2411998201,0.0,1.0,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,03-08-2025,2025-08-03T19:05:01.748Z,52,,
mantle,53,Mantle,MNT,0.702896,3.39408,UP,2365795993,149486519.0,1.54,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,03-08-2025,2025-08-03T19:09:05.399Z,53,,
kaspa,54,Kaspa,KAS,0.086038,6.76704,UP,2268709567,59265087.0,0.207411,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,03-08-2025,2025-08-03T19:09:13.768Z,54,,
pudgy-penguins,55,Pudgy Penguins,PENGU,0.03459099,9.57215,UP,2174442518,446624417.0,0.068447,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,03-08-2025,2025-08-03T19:09:07.189Z,55,,
usd1-wlfi,56,USD1,USD1,0.999074,0.0484,UP,2168562178,329341793.0,1.025,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,03-08-2025,2025-08-03T19:09:16.342Z,56,,
binance-peg-weth,57,Binance-Peg WETH,WETH,3488.95,3.23853,UP,2112582329,49230740.0,4098.26,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,03-08-2025,2025-08-03T19:09:11.495Z,57,,
algorand,58,Algorand,ALGO,0.241971,7.43419,UP,2107161633,97162798.0,3.56,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,03-08-2025,2025-08-03T19:09:10.718Z,58,,
gatechain-token,59,Gate,GT,16.91,2.27665,UP,2021405194,5373499.0,25.94,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,03-08-2025,2025-08-03T19:09:12.902Z,59,,
bonk,60,Bonk,BONK,2.613e-05,7.57178,UP,2023083983,285652463.0,5.825e-05,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,03-08-2025,2025-08-03T19:09:11.707Z,60,,
vechain,61,VeChain,VET,0.02312146,5.82247,UP,1989742066,29380929.0,0.280991,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,03-08-2025,2025-08-03T19:09:09.125Z,61,,
fasttoken,62,Fasttoken,FTN,4.58,0.07668,UP,1975629373,60011883.0,4.61,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,03-08-2025,2025-08-03T19:09:12.912Z,62,,
arbitrum,63,Arbitrum,ARB,0.38261,5.38219,UP,1971711173,150925465.0,2.39,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,03-08-2025,2025-08-03T19:09:16.633Z,63,,
cosmos,64,Cosmos Hub,ATOM,4.24,4.99401,UP,1958664889,83437062.0,44.45,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,03-08-2025,2025-08-03T19:09:12.252Z,64,,
render-token,65,Render,RENDER,3.56,5.58818,UP,1844915022,60857911.0,13.53,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,03-08-2025,2025-08-03T19:09:07.458Z,65,,
story-2,66,Story,IP,6.18,7.02271,UP,1828400478,46450999.0,7.31,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,03-08-2025,2025-08-03T19:09:15.023Z,66,,
polygon-ecosystem-token,67,POL (ex-MATIC),POL,0.201374,5.32072,UP,1821119714,59721578.0,1.29,https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,03-08-2025,2025-08-03T19:09:06.673Z,67,,
susds,68,sUSDS,SUSDS,1.062,0.01512,UP,1787907369,113622127.0,1.088,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,03-08-2025,2025-08-03T19:09:11.853Z,68,,
worldcoin-wld,69,Worldcoin,WLD,0.972413,5.54329,UP,1779966834,123771010.0,11.74,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,03-08-2025,2025-08-03T19:09:09.293Z,69,,
official-trump,70,Official Trump,TRUMP,8.84,4.20246,UP,1768625329,207612621.0,73.43,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,03-08-2025,2025-08-03T19:09:06.242Z,70,,
binance-staked-sol,71,Binance Staked SOL,BNSOL,172.61,3.60558,UP,1716266946,8479388.0,297.96,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,03-08-2025,2025-08-03T19:09:11.293Z,71,,
sky,72,Sky,SKY,0.078707,3.4646,UP,1674435735,1795628.0,0.100535,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,03-08-2025,2025-08-03T19:09:18.139Z,72,,
fetch-ai,73,Artificial Superintelligence Alliance,FET,0.633981,4.44435,UP,1651716948,57238062.0,3.45,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,03-08-2025,2025-08-03T19:09:12.909Z,73,,
jupiter-perpetuals-liquidity-provider-token,74,Jupiter Perpetuals Liquidity Provider Token,JLP,4.85,1.53965,UP,1649299980,25666162.0,5.26,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,03-08-2025,2025-08-03T19:09:13.913Z,74,,
rocket-pool-eth,75,Rocket Pool ETH,RETH,3974.26,3.11509,UP,1644088090,3391739.0,4814.31,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,03-08-2025,2025-08-03T19:09:07.042Z,75,,
sei-network,76,Sei,SEI,0.279918,5.5526,UP,1618472330,109043320.0,1.14,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,03-08-2025,2025-08-03T19:09:07.175Z,76,,
flare-networks,77,Flare,FLR,0.02305668,6.16684,UP,1607217966,12353044.0,0.150073,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,03-08-2025,2025-08-03T19:09:12.806Z,77,,
quant-network,78,Quant,QNT,110.04,3.72594,UP,1601185571,17657112.0,427.42,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,03-08-2025,2025-08-03T19:09:06.891Z,78,,
filecoin,79,Filecoin,FIL,2.33,4.39573,UP,1595865890,107263596.0,236.84,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,03-08-2025,2025-08-03T19:09:12.975Z,79,,
lombard-staked-btc,80,Lombard Staked BTC,LBTC,114355.0,2.08312,UP,1592550201,4529543.0,123777.0,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,03-08-2025,2025-08-03T19:09:20.165Z,80,,
kelp-dao-restaked-eth,81,Kelp DAO Restaked ETH,RSETH,3663.69,3.10325,UP,1553294026,653584.0,4216.2,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,03-08-2025,2025-08-03T19:09:13.610Z,81,,
spx6900,82,SPX6900,SPX,1.63,13.03685,UP,1515376460,73313372.0,2.27,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,03-08-2025,2025-08-03T19:09:07.729Z,82,,6.0
xdce-crowd-sale,83,XDC Network,XDC,0.093038,2.7304,UP,1510545159,36613819.0,0.192754,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,03-08-2025,2025-08-03T19:09:09.152Z,83,,
usdtb,84,USDtb,USDTB,0.999951,0.02116,UP,1437170086,5719274.0,1.018,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,03-08-2025,2025-08-03T19:09:08.767Z,84,,
jupiter-exchange-solana,85,Jupiter,JUP,0.461192,7.37337,UP,1413777358,43361249.0,2.0,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,03-08-2025,2025-08-03T19:09:13.750Z,85,,
usdt0,86,USDT0,USDT0,0.999389,0.13482,UP,1363264328,172334825.0,1.052,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,03-08-2025,2025-08-03T19:09:08.813Z,86,,
kucoin-shares,87,KuCoin,KCS,10.51,0.86843,UP,1341490146,5294072.0,28.83,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,03-08-2025,2025-08-03T19:09:13.913Z,87,,
stakewise-v3-oseth,88,StakeWise Staked ETH,OSETH,3673.46,3.10026,UP,1319659174,23520.0,4228.59,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,03-08-2025,2025-08-03T19:09:07.429Z,88,,
nexo,89,NEXO,NEXO,1.32,3.7731,UP,1316430104,9754971.0,4.07,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,03-08-2025,2025-08-03T19:09:05.914Z,89,,
hash-2,90,Provenance Blockchain,HASH,0.02724046,-1.7746,DOWN,1294549922,5071.87,0.058737,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,03-08-2025,2025-08-03T19:09:13.172Z,90,2.0,
first-digital-usd,91,First Digital USD,FDUSD,0.997489,0.1233,UP,1283560177,3087267365.0,1.15,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,03-08-2025,2025-08-03T19:09:13.054Z,91,,
liquid-staked-ethereum,92,Liquid Staked ETH,LSETH,3773.25,3.13969,UP,1272159840,711366.0,4332.67,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,03-08-2025,2025-08-03T19:09:20.011Z,92,,
injective-protocol,93,Injective,INJ,13.02,8.18744,UP,1272295653,100390953.0,52.62,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,03-08-2025,2025-08-03T19:09:13.810Z,93,,
mantle-staked-ether,94,Mantle Staked Ether,METH,3735.89,2.67243,UP,1261221154,1198278.0,4729.53,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,03-08-2025,2025-08-03T19:09:05.472Z,94,,
curve-dao-token,95,Curve DAO,CRV,0.909112,5.78223,UP,1256065701,166945935.0,15.37,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,03-08-2025,2025-08-03T19:09:12.348Z,95,,
blockstack,96,Stacks,STX,0.687991,4.57416,UP,1233800102,19524990.0,3.86,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,03-08-2025,2025-08-03T19:09:11.965Z,96,,
polygon-bridged-usdt-polygon,97,Polygon Bridged USDT (Polygon),USDT,0.999786,0.01865,UP,1214786039,27375030.0,1.027,https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,03-08-2025,2025-08-03T19:09:06.736Z,97,,
celestia,98,Celestia,TIA,1.65,5.71104,UP,1206063233,67946294.0,20.85,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,03-08-2025,2025-08-03T19:09:12.050Z,98,,
falcon-finance,99,Falcon USD,USDF,0.999238,-0.00907,DOWN,1196991903,6853701.0,1.075,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,03-08-2025,2025-08-03T19:09:12.658Z,99,,
renzo-restaked-eth,100,Renzo Restaked ETH,EZETH,3677.11,3.29051,UP,1147175883,1861196.0,4207.05,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,03-08-2025,2025-08-03T19:09:06.848Z,100,,
solv-btc,101,Solv Protocol BTC,SOLVBTC,113920.0,1.52952,UP,1144663319,973333.0,122909.0,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,03-08-2025,2025-08-03T19:09:13.423Z,101,,
optimism,102,Optimism,OP,0.652138,5.23747,UP,1143308097,116688687.0,4.84,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,03-08-2025,2025-08-03T19:09:06.251Z,102,,
conflux-token,103,Conflux,CFX,0.214976,13.56228,UP,1100976654,403173359.0,1.7,https://coin-images.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1696512867,03-08-2025,2025-08-03T19:09:12.327Z,103,,5.0
pump-fun,104,Pump.fun,PUMP,0.0029975,18.03771,UP,1068254687,382503187.0,0.00681162,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,03-08-2025,2025-08-03T19:09:12.770Z,104,,2.0
floki,105,FLOKI,FLOKI,0.00010726,8.31798,UP,1037464238,101719986.0,0.00034495,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,03-08-2025,2025-08-03T19:09:13.511Z,105,,
saros-finance,106,Saros,SAROS,0.394819,12.5824,UP,1035732572,10071899.0,0.405788,https://coin-images.coingecko.com/coins/images/34594/large/saros-token-logo.png?1705476813,03-08-2025,2025-08-03T19:09:07.073Z,106,,7.0
wbnb,107,Wrapped BNB,WBNB,751.39,2.16739,UP,1012526063,157831175.0,858.29,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,03-08-2025,2025-08-03T19:09:09.626Z,107,,
paypal-usd,108,PayPal USD,PYUSD,0.999771,0.00798,UP,1012248439,19394291.0,1.021,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,03-08-2025,2025-08-03T19:09:06.669Z,108,,
binance-bridged-usdc-bnb-smart-chain,109,Binance Bridged USDC (BNB Smart Chain),USDC,0.999314,0.1113,UP,997847275,173059135.0,1.031,https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,03-08-2025,2025-08-03T19:09:18.783Z,109,,
sonic-3,110,Sonic,S,0.302234,7.43811,UP,973804379,106385212.0,1.029,https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,03-08-2025,2025-08-03T19:09:07.468Z,110,,
jupiter-staked-sol,111,Jupiter Staked SOL,JUPSOL,182.35,3.27592,UP,968828488,4543800.0,309.67,https://coin-images.coingecko.com/coins/images/37482/large/jupsol.png?1714473916,03-08-2025,2025-08-03T19:09:13.658Z,111,,
pax-gold,112,PAX Gold,PAXG,3361.51,0.10769,UP,952661664,33498890.0,3518.57,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,03-08-2025,2025-08-03T19:09:06.384Z,112,,
the-graph,113,The Graph,GRT,0.091347,5.93299,UP,951665963,28905279.0,2.84,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,03-08-2025,2025-08-03T19:09:08.746Z,113,,
immutable-x,114,Immutable,IMX,0.49633,4.68721,UP,938709918,22216045.0,9.52,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,03-08-2025,2025-08-03T19:09:13.626Z,114,,
fartcoin,115,Fartcoin,FARTCOIN,0.929642,4.47504,UP,930833805,116094166.0,2.48,https://coin-images.coingecko.com/coins/images/50891/large/fart.jpg?1729503972,03-08-2025,2025-08-03T19:09:13.002Z,115,,
arbitrum-bridged-wbtc-arbitrum-one,116,Arbitrum Bridged WBTC (Arbitrum One),WBTC,114246.0,2.11489,UP,913295523,94328539.0,122778.0,https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,03-08-2025,2025-08-03T19:09:10.953Z,116,,
pancakeswap-token,117,PancakeSwap,CAKE,2.59,3.16528,UP,893202087,456349405.0,43.96,https://coin-images.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,03-08-2025,2025-08-03T19:09:06.587Z,117,,
dogwifcoin,118,dogwifhat,WIF,0.89111,7.75705,UP,891895906,167573686.0,4.83,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,03-08-2025,2025-08-03T19:09:12.778Z,118,,
clbtc,119,clBTC,CLBTC,114156.0,1.61916,UP,881651642,7.56,129190.0,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,03-08-2025,2025-08-03T07:09:16.160Z,119,,
